"player.photo","nr_raters","intelligence","confidence","happiness","trustworthiness","sexual_interest"
"0_the gap666.jpg",84,6.36904761904762,4.98809523809524,5.23809523809524,6.20238095238095,3.78571428571429
"1_topshop1716.jpg",82,4.53658536585366,5.4390243902439,5.81707317073171,4.71951219512195,4.5609756097561
"10_topshop894.jpg",82,5.51219512195122,6.59756097560976,6.5,5.48780487804878,4.70731707317073
"100_zara1911.jpg",84,5.79761904761905,4.82142857142857,4.89285714285714,5.79761904761905,3.5
"1000_the gap568.jpg",27,6.88888888888889,5.88888888888889,4.85185185185185,6.74074074074074,4.2962962962963
"1001_esprit2311.jpg",26,5.5,6.34615384615385,6.65384615384615,5.84615384615385,4.61538461538461
"1002_esprit966.jpg",26,7,7.34615384615385,7.03846153846154,6.26923076923077,5.65384615384615
"1003_vestiaire1114.jpg",26,6.61538461538461,6,4.61538461538461,5.11538461538461,4.84615384615385
"1004_primark112.jpg",26,5.07692307692308,6.61538461538461,6.96153846153846,5.46153846153846,5.11538461538461
"1005_esprit545.jpg",26,6.23076923076923,6.57692307692308,6.15384615384615,6.15384615384615,5.80769230769231
"1006_esprit2239.jpg",26,6.5,6.57692307692308,5.61538461538461,6.15384615384615,5.88461538461539
"1007_esprit2587.jpg",26,6.07692307692308,6.11538461538461,5.84615384615385,5.61538461538461,5.65384615384615
"1008_vestiaire291.jpg",26,5.76923076923077,4.84615384615385,4.92307692307692,5.80769230769231,3.61538461538462
"1009_topshop1656.jpg",26,5.73076923076923,6.92307692307692,6.23076923076923,5.76923076923077,5.92307692307692
"101_topshop714.jpg",83,5.72289156626506,5.50602409638554,5.39759036144578,5.57831325301205,4.06024096385542
"1010_h and m us211.jpg",26,5.5,7.65384615384615,7.15384615384615,5.53846153846154,7.15384615384615
"1011_zara1130.jpg",26,6.65384615384615,5.76923076923077,6.57692307692308,6.69230769230769,4.46153846153846
"1012_topshop323.jpg",26,5.15384615384615,7.23076923076923,6.80769230769231,5.30769230769231,6.73076923076923
"1013_zara177.jpg",26,5.69230769230769,4.84615384615385,5.15384615384615,6.03846153846154,3.84615384615385
"1014_topshop607.jpg",26,6,7.23076923076923,6.96153846153846,5.92307692307692,5.92307692307692
"1015_h and m us210.jpg",26,5.61538461538461,4.61538461538461,5.38461538461539,6.15384615384615,3.76923076923077
"1016_esprit1579.jpg",25,5.56,6,6.24,5.8,4.92
"1017_zara1156.jpg",25,5.36,7.2,6.8,5.32,6.12
"1018_esprit158.jpg",25,6.44,5.84,5.84,5.96,4.16
"1019_esprit1262.jpg",25,5.76,4.8,5.16,5.72,4.08
"102_gucci194.jpg",83,6.06024096385542,6.48192771084337,6.12048192771084,5.87951807228916,4.07228915662651
"1020_zara445.jpg",25,5.76,6.32,6.72,5.64,4.56
"1021_esprit2358.jpg",24,6.08333333333333,4.95833333333333,5.375,5.375,4.125
"1022_esprit431.jpg",24,5.625,7.125,7.33333333333333,5.75,5.41666666666667
"1023_esprit1497.jpg",24,6.83333333333333,6.75,5.91666666666667,6.75,4.875
"1024_the gap724.jpg",24,6.08333333333333,6.41666666666667,6.625,6.04166666666667,4.79166666666667
"1025_esprit1346.jpg",24,6.41666666666667,6.41666666666667,6.08333333333333,6,5.20833333333333
"1026_prada155.jpg",24,6.16666666666667,7.70833333333333,5.95833333333333,5.20833333333333,5.875
"1027_esprit1510.jpg",24,6.375,7.58333333333333,6.41666666666667,6.33333333333333,6.16666666666667
"1028_esprit1480.jpg",24,6.08333333333333,6.91666666666667,6.875,6.16666666666667,5.41666666666667
"1029_zara1625.jpg",24,5.54166666666667,6.5,6.125,5.91666666666667,4.29166666666667
"103_vestiaire165.jpg",83,5.65060240963855,6.65060240963855,5.96385542168675,5.36144578313253,4.1566265060241
"1030_the gap534.jpg",24,6,6.04166666666667,6.75,6.33333333333333,5.125
"1031_prada233.jpg",24,6.41666666666667,7.95833333333333,6.70833333333333,5.58333333333333,6.41666666666667
"1032_prada52.jpg",24,5.5,5.45833333333333,5.29166666666667,5.16666666666667,3.79166666666667
"1033_zara1582.jpg",24,4.91666666666667,5,5.58333333333333,5.04166666666667,4.58333333333333
"1034_esprit2512.jpg",24,6.125,7,7.5,5.83333333333333,5.79166666666667
"1035_zara208.jpg",24,5.45833333333333,7.29166666666667,6.875,5.41666666666667,6.20833333333333
"1036_vestiaire817.jpg",24,5.29166666666667,5.25,5.54166666666667,5.33333333333333,4.125
"1037_prada206.jpg",24,5.29166666666667,5.33333333333333,5.58333333333333,5.08333333333333,4.33333333333333
"1038_esprit353.jpg",24,6.25,6.54166666666667,6.45833333333333,6.16666666666667,5.66666666666667
"1039_vestiaire471.jpg",24,5.41666666666667,6.16666666666667,6.5,5.83333333333333,5.125
"104_vestiaire950.jpg",83,4.74698795180723,7.67469879518072,6.80722891566265,4.69879518072289,6.93975903614458
"1040_zara880.jpg",27,4.96296296296296,6.33333333333333,6.81481481481481,5.7037037037037,3.48148148148148
"1041_zara2004.jpg",27,5.66666666666667,6.11111111111111,5.03703703703704,5.62962962962963,4.85185185185185
"1042_esprit1487.jpg",27,6.22222222222222,6.14814814814815,5.85185185185185,6.03703703703704,4.22222222222222
"1043_topshop938.jpg",27,5.88888888888889,6.18518518518519,6.51851851851852,5.92592592592593,4.74074074074074
"1044_zara1101.jpg",27,5.85185185185185,5.48148148148148,6.14814814814815,5.96296296296296,4.07407407407407
"1045_prada267.jpg",27,5.77777777777778,6.37037037037037,5.44444444444444,5.62962962962963,4.33333333333333
"1046_esprit468.jpg",27,5.37037037037037,6.85185185185185,6,5.55555555555556,5.33333333333333
"1047_topshop1147.jpg",27,5.33333333333333,8.44444444444444,7.48148148148148,5.55555555555556,5.2962962962963
"1048_topshop478.jpg",27,5.88888888888889,4.03703703703704,4.11111111111111,5.59259259259259,2.96296296296296
"1049_zara812.jpg",27,5.25925925925926,6.11111111111111,5.62962962962963,5.55555555555556,4.22222222222222
"105_esprit189.jpg",83,6.07228915662651,5.28915662650602,5.59036144578313,6,4.1566265060241
